59348.966261417516180 3.1386935 0.0000239
59359.965567222495808 3.1386579 0.0000224
59370.799131973274250 3.1384773 0.0000274
59380.794733745447796 3.1386860 0.0000159
59391.692187627255509 3.1387172 0.0000315
59413.676446624230463 3.1383875 0.0000840
59441.567418982315417 3.1386651 0.0000513
59449.515335658887901 3.1386904 0.0000417
59460.522974487996160 3.1387186 0.0000155
59468.426215140376331 3.1387869 0.0000559
59469.477256829278999 3.1386479 0.0000169
59489.497395826414314 3.1387003 0.0000193
59496.452835793043883 3.1387680 0.0000295
